Field,LongName,Description,Levels,Units,TermURL,HED
pls4_otc_rx_days_y_4,,Is the medication extended-release (XR)? | 1 = Yes; 0 = No; 999 = Don't know,,,,
pls4_otc_rx_days_y_4,,Is the medication extended-release (XR)? | 1 = Yes; 0 = No; 999 = Don't know,1 = Yes | 0 = No | 999 = Don't know,,,
pnh_substance,,"During the last 6 months, have any of your close friends ever suggested that you <i>not</i> use
drugs or alcohol? | 0=No; 3=Yes",,,,
pnh_substance,,"During the last 6 months, have any of your close friends ever suggested that you <i>not</i> use
drugs or alcohol? | 0=No; 3=Yes",0 = No | 3 = Yes,,,
pnh_encourage,,"During the last 6 months, have any of your close friends encouraged you to get or stay
involved with sports/exercise, school teams or clubs, volunteering, or religious activities? | 0=No; 2=Yes",,,,
pnh_encourage,,"During the last 6 months, have any of your close friends encouraged you to get or stay
involved with sports/exercise, school teams or clubs, volunteering, or religious activities? | 0=No; 2=Yes",0 = No | 2 = Yes,,,
neighborhood1r_p,,"I feel safe walking in my neighborhood, day or night. Me siento seguro(a) caminando por mi vecindario, de día o de noche. | 1 = Strongly Disagree /Muy en desacuerdo; 2 = Disagree /En desacuerdo; 3 = Neutral (neither agree nor disagree)/ Neutral (ni de acuerdo ni en desacuerdo); 4 = Agree /De acuerdo; 5 = Strongly Agree/ Muy de acuerdo//The following questions are about your neighborhood. Your neighborhood is the area within about a 20-minute walk (or about a mile) from your home. For each of the statements please indicate whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree",,,,
neighborhood1r_p,,"I feel safe walking in my neighborhood, day or night. Me siento seguro(a) caminando por mi vecindario, de día o de noche. | 1 = Strongly Disagree /Muy en desacuerdo; 2 = Disagree /En desacuerdo; 3 = Neutral (neither agree nor disagree)/ Neutral (ni de acuerdo ni en desacuerdo); 4 = Agree /De acuerdo; 5 = Strongly Agree/ Muy de acuerdo//The following questions are about your neighborhood. Your neighborhood is the area within about a 20-minute walk (or about a mile) from your home. For each of the statements please indicate whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree","1 = Strongly Disagree /Muy en desacuerdo | 2 = Disagree /En desacuerdo | 3 = Neutral (neither agree nor disagree)/ Neutral (ni de acuerdo ni en desacuerdo) | 4 = Agree /De acuerdo | 5 = Strongly Agree/ Muy de acuerdo//The following questions are about your neighborhood. Your neighborhood is the area within about a 20-minute walk (or about a mile) from your home. For each of the statements please indicate whether you strongly agree, agree, neither agree nor disagree, disagree, or strongly disagree",,,
pds_select_language___1,,"¿Español? (1, Sí) | 0 = No; 1 = Yes",,,,
pds_select_language___1,,"¿Español? (1, Sí) | 0 = No; 1 = Yes",0 = No | 1 = Yes,,,
pds_m4_p,,Have you noticed a deepening of his voice? ¿Ha notado que la voz de su niño se ha vuelto más profunda? | 1 = voice has not yet started changing Su voz aún no ha empezado a cambiar.; 2 = voice has barely started changing Su voz apenas ha empezado a cambiar.; 3 = voice changes are definitely underway Definitivamente ya están ocurriendo cambios en su voz.; 4 = voice changes seem complete Parece haber terminado de cambiar su voz.; 999 = I don't know No sé,,,,
pds_m4_p,,Have you noticed a deepening of his voice? ¿Ha notado que la voz de su niño se ha vuelto más profunda? | 1 = voice has not yet started changing Su voz aún no ha empezado a cambiar.; 2 = voice has barely started changing Su voz apenas ha empezado a cambiar.; 3 = voice changes are definitely underway Definitivamente ya están ocurriendo cambios en su voz.; 4 = voice changes seem complete Parece haber terminado de cambiar su voz.; 999 = I don't know No sé,1 = voice has not yet started changing Su voz aún no ha empezado a cambiar. | 2 = voice has barely started changing Su voz apenas ha empezado a cambiar. | 3 = voice changes are definitely underway Definitivamente ya están ocurriendo cambios en su voz. | 4 = voice changes seem complete Parece haber terminado de cambiar su voz. | 999 = I don't know No sé,,,
menstrualcycle2_p,,"On average, how many days are there between the first day of their period and the first day of their next period? (e.g., 30 days) | If you don't know, please choose ""don't know"" in what follows below  Si no sabe, por favor escoja ""no se"" en lo que sigue abajo",,,,
pain_bodymap_male___f29,,Knee (front-right) | 1=Yes; 0=No,,,,
pain_bodymap_male___f29,,Knee (front-right) | 1=Yes; 0=No,1 = Yes | 0 = No,,,
pain_bodymap_male___b34,,Lower Leg (back-right) | 1=Yes; 0=No,,,,
pain_bodymap_male___b34,,Lower Leg (back-right) | 1=Yes; 0=No,1 = Yes | 0 = No,,,
pain_bodymap_female___f35,,Foot (top-right) | 1=Yes; 0=No,,,,
pain_bodymap_female___f35,,Foot (top-right) | 1=Yes; 0=No,1 = Yes | 0 = No,,,
midq_nerv_1a_rescan_y,,How NERVOUS were you when:You saw a circle saying you could win $5? | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; THIS INSTRUMENT SHOULD ONLY BE USED FOR RESCANS. Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.,,,,
midq_nerv_1a_rescan_y,,How NERVOUS were you when:You saw a circle saying you could win $5? | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; THIS INSTRUMENT SHOULD ONLY BE USED FOR RESCANS. Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
midq_try_1a_rescan_y,,How hard did you try: to win $5? | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; THIS INSTRUMENT SHOULD ONLY BE USED FOR RESCANS. Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.,,,,
midq_try_1a_rescan_y,,How hard did you try: to win $5? | 1 = Very slightly or not at all; 2 = A little; 3 = Moderately; 4 = Quite a bit; 5 = Extremely; THIS INSTRUMENT SHOULD ONLY BE USED FOR RESCANS. Read each of the following questions and then mark the appropriate answer in the space next to that question.  Indicate how much you felt this way while in the scanner.,1 = Very slightly or not at all | 2 = A little | 3 = Moderately | 4 = Quite a bit | 5 = Extremely,,,
pea_ravlt_sd_trial_iii_ti,,RAVLT Short Delay Trial III Total Intrusions,,,,
pea_wiscv_tss,,WISC-V Matrix Reasoning Total Scaled Score,,,,
pea_wiscv_item_15_rs,,WISC-V Matrix Reasoning Sample Item 15 Raw Score,,,,
prosocial_q2_y,,"I am helpful if someone is hurt, upset, or feeling sick. | 0 = Not True; 1 = Somewhat True; 2 = Certainly True",,,,
prosocial_q2_y,,"I am helpful if someone is hurt, upset, or feeling sick. | 0 = Not True; 1 = Somewhat True; 2 = Certainly True",0 = Not True | 1 = Somewhat True | 2 = Certainly True,,,
ssrs_16_p,,Avoids eye contact or has unusual eye contact. Evita el contacto con los ojos o tiene contacto visual inusual. | 1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto,,,,
ssrs_16_p,,Avoids eye contact or has unusual eye contact. Evita el contacto con los ojos o tiene contacto visual inusual. | 1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto,1 = Not True No es cierto | 2 = Sometimes True Algunas veces cierto | 3 = Often True Frequentemente cierto | 4 = Almost Always True Casi siempre cierto,,,
ssrs_35_p,,Has trouble keeping up with the flow of normal conversation. Tiene problemas para mantener el flujo de una conversación normal. | 1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto,,,,
ssrs_35_p,,Has trouble keeping up with the flow of normal conversation. Tiene problemas para mantener el flujo de una conversación normal. | 1 = Not True No es cierto; 2 = Sometimes True Algunas veces cierto; 3 = Often True Frequentemente cierto; 4 = Almost Always True Casi siempre cierto,1 = Not True No es cierto | 2 = Sometimes True Algunas veces cierto | 3 = Often True Frequentemente cierto | 4 = Almost Always True Casi siempre cierto,,,
su_des_hall_youth_p,,"Hallucinogen drugs that cause people to see or experience things that are not real such as LSD or acid, magic mushrooms, salvia, PCP or angel dust, peyote, mescaline, DMT, AMT or Foxy.  Drogas alucinogenas que hacen que las personas vean o sientan cosas que no son reales  como LSD o acido hongos magicos  salvia  PCP o polvo de angel  peyote  mezcalina  DMT  AMT oFoxy.",,,,
su_des_h2_mj_inside_days_p,,In a typical week  how many days did someone smoke marijuana (medical OR non-medical) inside your home while your child was home or in a vehicle your child was in?  En una semana tipica cuantos dias fumo alguien marihuana (medicinal O no medicinal) dentro de su hogar cuando su hijo/a estaba en casa o en un vehiculo en el que estaba su hijo/a?,,,,
su_des_h3_ecig_inside_hrs_dk_p,,"How many hours in a typical day did someone use electronic nicotine or vaping products such as e-cigarettes, vape pens or Juuls inside your home while your child was home or in a vehicle your child was in? Cuantas horas en un dia tipico uso alguien productos electronicos de nicotina o de vapeo  como cigarrillos electronicos  plumas de vapeo o Juuls dentro de su hogar cuando su nio/a estaba en casa o en un vehiculo en el que estaba su nio/a? | 999 = Don't Know  /  No se",,,,
ksads_ptsd_raw_759_p,,Witnessed death or mass destruction in a war zone | 0 = No; 1 = Yes,,,,
ksads_ptsd_raw_759_p,,Witnessed death or mass destruction in a war zone | 0 = No; 1 = Yes,0 = No | 1 = Yes,,,
ksads_ptsd_raw_764_p,,A non-family member threatened to kill your child | 0 = No; 1 = Yes,,,,
ksads_ptsd_raw_764_p,,A non-family member threatened to kill your child | 0 = No; 1 = Yes,0 = No | 1 = Yes,,,
comc_phenx_help_p,,"People around here are willing to help their neighbors. / La gente de por aquÃ­ estÃ¡ dispuesta a ayudar a sus vecinos. | 5= Strongly Agree / Totalmente de acuerdo;4=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 2=  Disagree / En desacuerdo; 1 = Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""",,,,
comc_phenx_help_p,,"People around here are willing to help their neighbors. / La gente de por aquÃ­ estÃ¡ dispuesta a ayudar a sus vecinos. | 5= Strongly Agree / Totalmente de acuerdo;4=  Agree / De acuerdo; 3= Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo; 2=  Disagree / En desacuerdo; 1 = Strongly Disagree / Totalmente en desacuerdo; 999 = Don't Know / No sÃ©; 777=  Refused / niego a contestar""","5 = Strongly Agree / Totalmente de acuerdo | 4 = Agree / De acuerdo | 3 = Neither Agree Nor Disagree / Ni de acuerdo ni en desacuerdo | 2 = Disagree / En desacuerdo | 1 = Strongly Disagree / Totalmente en desacuerdo | 999 = Don't Know / No sÃ© | 777 = Refused / niego a contestar""",,,
comc_phenx_skip_p,,If a group of neighborhood children were skipping school and hanging out on a street corner how likely is that your neighbors would do something about it? / Si un grupo de niÃ±os del vecindario estuviera faltando a la escuela y pasando el rato en una esquina Â¿quÃ© probabilidades hay de que sus vecinos hagan algo al respecto? | 5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar,,,,
comc_phenx_skip_p,,If a group of neighborhood children were skipping school and hanging out on a street corner how likely is that your neighbors would do something about it? / Si un grupo de niÃ±os del vecindario estuviera faltando a la escuela y pasando el rato en una esquina Â¿quÃ© probabilidades hay de que sus vecinos hagan algo al respecto? | 5=Very Likely / Muy probable; 4= Likely / Probable; 3 = Neither Likely Nor Unlikely / Ni probable ni improbable; 2=  Unlikely / Improbable; 1= Very Unlikely / Muy improbable; 999 = Don't Know / No sÃ©; 777 = Refused / niego a contestar,5 = Very Likely / Muy probable | 4 = Likely / Probable | 3 = Neither Likely Nor Unlikely / Ni probable ni improbable | 2 = Unlikely / Improbable | 1 = Very Unlikely / Muy improbable | 999 = Don't Know / No sÃ© | 777 = Refused / niego a contestar,,,
ra_scan_cl_prescr_order,,"Prescribed task/trial order | This field references the task and trial order values displayed in ""Special Instrument Participation"".",,,,
ra_scan_check_list_vmidrc,,Version of MID | 1 = A; 2 = B; 3 = C,,,,
ra_scan_check_list_vmidrc,,Version of MID | 1 = A; 2 = B; 3 = C,1 = A | 2 = B | 3 = C,,,
ra_scan_check_list_rcom,,How many runs completed for MID? | 0 = 0; 1 = 1; 2 = 2,,,,
ra_scan_check_list_rcom,,How many runs completed for MID? | 0 = 0; 1 = 1; 2 = 2,0 = 0 | 1 = 1 | 2 = 2,,,
reshist_addr5_adi_rent,,Residential history derived- Area Deprivation Index: Median gross rent 5,,,,
reshist_addr1_coi_zhe_heat,,"Health and Environment Domain Health insurance coverage: Summer days with maximum temperature above 90F, transformed to z-scores and multiplied by -1.",,,,
reshist_addr3_coi_r_coi_met,,"Child Opportunity Scores, overall COI, metro-normed: Metro-normed Child Opportunity Scores (from 1 to 100) for the overall COI.",,,,
sag_miss_school_excuse_p,,How many days did your child miss school with an acceptable excuse during the past 4 weeks? / Â¿CuÃ¡ntos dÃ­as faltÃ³ su hijo/a a la escuela con una excusa aceptable durante las Ãºltimas 4 semanas? | 0=0 days / 0 dÃ­as; 1=  1 day / 1 dÃ­a; 2=  2 days / 2 dÃ­as; 3=  3 days / 3 dÃ­as; 4=  4 -5 days / 4-5 dÃ­as; 5=  6-10 days / 6-10 dÃ­as; 6=  11+ days / 11+ dÃ­as; -1=  Not Applicable / No corresponde,,,,
sag_miss_school_excuse_p,,How many days did your child miss school with an acceptable excuse during the past 4 weeks? / Â¿CuÃ¡ntos dÃ­as faltÃ³ su hijo/a a la escuela con una excusa aceptable durante las Ãºltimas 4 semanas? | 0=0 days / 0 dÃ­as; 1=  1 day / 1 dÃ­a; 2=  2 days / 2 dÃ­as; 3=  3 days / 3 dÃ­as; 4=  4 -5 days / 4-5 dÃ­as; 5=  6-10 days / 6-10 dÃ­as; 6=  11+ days / 11+ dÃ­as; -1=  Not Applicable / No corresponde,0 = 0 days / 0 dÃ­as | 1 = 1 day / 1 dÃ­a | 2 = 2 days / 2 dÃ­as | 3 = 3 days / 3 dÃ­as | 4 = 4 -5 days / 4-5 dÃ­as | 5 = 6-10 days / 6-10 dÃ­as | 6 = 11+ days / 11+ dÃ­as | -1 = Not Applicable / No corresponde,,,
sag_unexcuse_absence_p,,How many unexcused absences from school did your child have in the last 12 months? / Â¿CuÃ¡ntas ausencias injustificadas a la escuela tuvo su hijo/a en los Ãºltimos 12 meses? | 0=0; 1=1-2; 2=3-10; 3=11+; -1=Not Applicable / No corresponde,,,,
sag_unexcuse_absence_p,,How many unexcused absences from school did your child have in the last 12 months? / Â¿CuÃ¡ntas ausencias injustificadas a la escuela tuvo su hijo/a en los Ãºltimos 12 meses? | 0=0; 1=1-2; 2=3-10; 3=11+; -1=Not Applicable / No corresponde,0 = 0 | 1 = 1-2 | 2 = 3-10 | 3 = 11+ | -1 = Not Applicable / No corresponde,,,
saip2_fhock_nyr,,Field Hockey: For how many years did your child participate in this activity? ¿Por cuántos años participó su niño(a) en esta actividad? | 999 = Don't know No lo sé; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10,,,,
saip2_fhock_nyr,,Field Hockey: For how many years did your child participate in this activity? ¿Por cuántos años participó su niño(a) en esta actividad? | 999 = Don't know No lo sé; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10,999 = Don't know No lo sé | 1 = 1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = 5 | 6 = 6 | 7 = 7 | 8 = 8 | 9 = 9 | 10 = 10,,,
sai_p_skate_outside,,"Skateboarding: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? Â¿Alguna de estas actividades formÃ³ parte de algÃºn equipo, grupo, banda, orquesta, coro, o programa organizado fuera de la escuela? | 1 = Yes Sí; 0 = No No",,,,
sai_p_skate_outside,,"Skateboarding: Was any of this activity part of an organized team, group, band, orchestra, chorus, or program outside of school? Â¿Alguna de estas actividades formÃ³ parte de algÃºn equipo, grupo, banda, orquesta, coro, o programa organizado fuera de la escuela? | 1 = Yes Sí; 0 = No No",1 = Yes Sí | 0 = No No,,,
saip2_vball_nyr,,Volleyball: For how many years did your child participate in this activity? ¿Por cuántos años participó su niño(a) en esta actividad? | 999 = Don't know No lo sé; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10,,,,
saip2_vball_nyr,,Volleyball: For how many years did your child participate in this activity? ¿Por cuántos años participó su niño(a) en esta actividad? | 999 = Don't know No lo sé; 1 = 1; 2 = 2; 3 = 3; 4 = 4; 5 = 5; 6 = 6; 7 = 7; 8 = 8; 9 = 9; 10 = 10,999 = Don't know No lo sé | 1 = 1 | 2 = 2 | 3 = 3 | 4 = 4 | 5 = 5 | 6 = 6 | 7 = 7 | 8 = 8 | 9 = 9 | 10 = 10,,,
scrn_hr_smoke,,"Finally, one last question about you and your family. In the past six months, has anyone who lives with your child (e.g., you, a spouse or partner) smoked a cigarette, e-cigarette, or used any other type of tobacco? 
Para terminar, le haré una última pregunta acerca de usted y su familia. En los últimos seis meses, ¿alguna persona que viva con su hijo (p. ej., usted, un cónyuge o una pareja) ha fumado un cigarrillo o un cigarrillo electrónico, o ha consumido cualquier otro tipo de tabaco? | 1 = Yes; 0 = No",,,,
scrn_hr_smoke,,"Finally, one last question about you and your family. In the past six months, has anyone who lives with your child (e.g., you, a spouse or partner) smoked a cigarette, e-cigarette, or used any other type of tobacco? 
Para terminar, le haré una última pregunta acerca de usted y su familia. En los últimos seis meses, ¿alguna persona que viva con su hijo (p. ej., usted, un cónyuge o una pareja) ha fumado un cigarrillo o un cigarrillo electrónico, o ha consumido cualquier otro tipo de tabaco? | 1 = Yes; 0 = No",1 = Yes | 0 = No,,,
scrn_fluency,,Has your child been taking some classes in English for at least 1 year? / ¿Su niño(a) ha estado tomando algunas clases en inglés durante al menos 1 año? | 1 = Yes; 0 = No - GO TO END,,,,
scrn_fluency,,Has your child been taking some classes in English for at least 1 year? / ¿Su niño(a) ha estado tomando algunas clases en inglés durante al menos 1 año? | 1 = Yes; 0 = No - GO TO END,1 = Yes | 0 = No - GO TO END,,,
scrn_asd_regclasses,,Is your child attending all regular classes at school? /¿Todas las clases a las que asiste su niño(a) en la escuela son regulares? | 1 = Yes; 0 = No - GO TO END,,,,
scrn_asd_regclasses,,Is your child attending all regular classes at school? /¿Todas las clases a las que asiste su niño(a) en la escuela son regulares? | 1 = Yes; 0 = No - GO TO END,1 = Yes | 0 = No - GO TO END,,,
scrn_bracesdate_v2,,If they are removable  when could they come off?,,,,
scrn_nr_piercing_remove,,Can they be removed for the follow-up visit?,,,,
scrn_health_describe,,"What health problems would that be?"" Depending on the problem  you may need to consult your PI. We want to make sure the youth is able to safely and comfortably complete the protocol.""",,,,
sleepdisturb2_p,,How long after going to bed does your child usually fall asleep? Después de acostarse ¿generalmente cuánto tiempo tarda su niño(a) en quedarse dormido(a)? | 1 = Less than 15 minutes /Menos de 15 minutos; 2 = 15-30 minutes 15 a 30 minutos; 3 = 30-45 minutes /30 a 45 minutos; 4 = 45-60 minutes /45 a 60 minutos; 5 = More than 60 minutes /Más de 60 minutos//Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,,
sleepdisturb2_p,,How long after going to bed does your child usually fall asleep? Después de acostarse ¿generalmente cuánto tiempo tarda su niño(a) en quedarse dormido(a)? | 1 = Less than 15 minutes /Menos de 15 minutos; 2 = 15-30 minutes 15 a 30 minutos; 3 = 30-45 minutes /30 a 45 minutos; 4 = 45-60 minutes /45 a 60 minutos; 5 = More than 60 minutes /Más de 60 minutos//Consider each question pertaining to the PAST 6 MONTHS of the child's life,1 = Less than 15 minutes /Menos de 15 minutos | 2 = 15-30 minutes 15 a 30 minutos | 3 = 30-45 minutes /30 a 45 minutos | 4 = 45-60 minutes /45 a 60 minutos | 5 = More than 60 minutes /Más de 60 minutos//Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,
sleepdisturb10_p,,The child wakes up more than twice per night. El niño / la niña se despierta más de dos veces por noche. | 1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,,
sleepdisturb10_p,,The child wakes up more than twice per night. El niño / la niña se despierta más de dos veces por noche. | 1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,1 = Never /Nunca | 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos) | 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana) | 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana) | 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,
sleepdisturb18_p,,You have observed the child talking in their sleep. | 1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,,
sleepdisturb18_p,,You have observed the child talking in their sleep. | 1 = Never /Nunca; 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos); 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana); 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana); 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,1 = Never /Nunca | 2 = Occasionally (once or twice per month or less) /Ocasionalmente (1 o 2 veces al mes o menos) | 3 = Sometimes (once or twice per week) /A veces (1 o 2 veces a la semana) | 4 = Often (3 or 5 times per week)/ A menudo (de 3 a 5 veces a la semana) | 5 = Always (daily) /Siempre (diariamente)// Consider each question pertaining to the PAST 6 MONTHS of the child's life,,,
sit_scr_version,,Task Version Number,,,,
sit_scr_computer_platform,,"computer.platform:

The platform the script was run on",,,,
sit_scr_expr_mratdiff3,,"expressions.meanRatingDiff3:

The mean difference in ratings (final - initial) for peer rating condition '+2'

Note: positive values => final rating was higher than initial ratingnegative values => final rating was lower than initial rating",,,,
socialdev_capq_04,,Your mom helps with some of your special activities (such as sports  boy/girl scouts  church youth groups). | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,,,,
socialdev_capq_04,,Your mom helps with some of your special activities (such as sports  boy/girl scouts  church youth groups). | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_capq_15,,Your mom drives you to a special activity. | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,,,,
socialdev_capq_15,,Your mom drives you to a special activity. | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_capq_27,,Your parents tell you that they like it when you help out around the house. | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,,,,
socialdev_capq_27,,Your parents tell you that they like it when you help out around the house. | 0 = Never;1 = Almost never; 2=Sometimes; 3=  Often; 4=  Always,0 = Never | 1 = Almost never | 2 = Sometimes | 3 = Often | 4 = Always,,,
socialdev_cders_05,,I have difficulty making sense out of my feelings. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_cders_05,,I have difficulty making sense out of my feelings. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_cders_16,,When I'm upset  I believe that I will end up feeling very depressed. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_cders_16,,When I'm upset  I believe that I will end up feeling very depressed. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_cders_26,,When I'm upset  I have difficulty concentrating. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,,,,
socialdev_cders_26,,When I'm upset  I have difficulty concentrating. | 0 = Never; 1=  Sometimes; 2=  About half the time; 3 = Most of the time; 4=  Almost always,0 = Never | 1 = Sometimes | 2 = About half the time | 3 = Most of the time | 4 = Almost always,,,
socialdev_cfire_2,,How old were you the first time you carried a gun other than for hunting or for a sport such as target shooting?,,,,
socialdev_cfbc_03,,When I filled out the questionnaire  I could ask a staff member to help me. | 1 = Yes; 0=  No; 98=  I don't know,,,,
socialdev_cfbc_03,,When I filled out the questionnaire  I could ask a staff member to help me. | 1 = Yes; 0=  No; 98=  I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_cfbc_12,,The day was difficult because I did 2 studies. | 1 = Yes; 0=  No; 98=  I don't know,,,,
socialdev_cfbc_12,,The day was difficult because I did 2 studies. | 1 = Yes; 0=  No; 98=  I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_cfbi_05,,There were many difficult words. | 1 = Yes; 0=  No; 98=  I don't know,,,,
socialdev_cfbi_05,,There were many difficult words. | 1 = Yes; 0=  No; 98=  I don't know,1 = Yes | 0 = No | 98 = I don't know,,,
socialdev_cpb_06,,My friends get into trouble with the police. | 3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends,,,,
socialdev_cpb_06,,My friends get into trouble with the police. | 3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends,3 = ALL of my friends | 2 = MOST of my friends | 1 = A FEW of my friends | 0 = NONE of my friends,,,
socialdev_cpb_11,,My friends use drugs. | 3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends,,,,
socialdev_cpb_11,,My friends use drugs. | 3 = ALL of my friends; 2=  MOST of my friends; 1=  A FEW of my friends; 0=  NONE of my friends,3 = ALL of my friends | 2 = MOST of my friends | 1 = A FEW of my friends | 0 = NONE of my friends,,,
socialdev_cpd_026,,If I get the chance to do something fun  I do it no matter what I had been doing before. | 0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well,,,,
socialdev_cpd_026,,If I get the chance to do something fun  I do it no matter what I had been doing before. | 0  =Does not apply at all;  1=  Does not apply well;  2=  Applies fairly well;  3 = Applies very well,0 = Does not apply at all | 1 = Does not apply well | 2 = Applies fairly well | 3 = Applies very well,,,
socialdev_cpd_058_icu,,I do not care who I hurt to get what I want. | 0 = Not at all true;  1=  Somewhat true;  2 = Very true;  3=  Definitely true,,,,
socialdev_cpd_058_icu,,I do not care who I hurt to get what I want. | 0 = Not at all true;  1=  Somewhat true;  2 = Very true;  3=  Definitely true,0 = Not at all true | 1 = Somewhat true | 2 = Very true | 3 = Definitely true,,,
